$,int,Skip,int,Skip,int,Skip,Skip,int,String,int,Array,int,int,int,int,int,int,int,int,Array,Array,Array,Array,Array,Array,int
,15120101,侘助,151201011,侘助普攻1,151201012,侘助普攻1,,15120101,cz_att1,,,,1,"[[15120101,15120102,15120103,15120104]]",1,1,1,0,8,,,"[169,175,181,188,200,212,225,238,250,262,275,288,300,312,325,344,362,381,400,419,438,456,481,506,531,556,588,619,656,694,738,781,831,881,938,1000,1062,1131,1206,1288,1375,1469,1569,1675,1794,1919,2050,2194,2344,2506,2681,2869,3069,3281,3506,3750,4006,4281,4575,4888,5219,5575,5950,6350,6775,7231,7712,8225,8775,9356,9975,10631,11331,12075,12862,13700,14588,15531,16531,17594]",,,,10
,15120102,侘助,151201021,侘助普攻2,151201022,侘助普攻2,,15120102,cz_att2,,,,0,,1,1,1,0,8,,,"[169,175,181,188,200,212,225,238,250,262,275,288,300,312,325,344,362,381,400,419,438,456,481,506,531,556,588,619,656,694,738,781,831,881,938,1000,1062,1131,1206,1288,1375,1469,1569,1675,1794,1919,2050,2194,2344,2506,2681,2869,3069,3281,3506,3750,4006,4281,4575,4888,5219,5575,5950,6350,6775,7231,7712,8225,8775,9356,9975,10631,11331,12075,12862,13700,14588,15531,16531,17594]",,,,10
,15120103,侘助,151201031,侘助普攻3,151201032,侘助普攻3,,15120103,cz_att3,,,,0,,1,1,1,0,8,,,"[169,175,181,188,200,212,225,238,250,262,275,288,300,312,325,344,362,381,400,419,438,456,481,506,531,556,588,619,656,694,738,781,831,881,938,1000,1062,1131,1206,1288,1375,1469,1569,1675,1794,1919,2050,2194,2344,2506,2681,2869,3069,3281,3506,3750,4006,4281,4575,4888,5219,5575,5950,6350,6775,7231,7712,8225,8775,9356,9975,10631,11331,12075,12862,13700,14588,15531,16531,17594]",,,,10
,15120104,侘助,151201041,侘助普攻4,151201042,侘助普攻4,,15120104,cz_att4,,,,0,,1,1,1,0,8,,,"[169,175,181,188,200,212,225,238,250,262,275,288,300,312,325,344,362,381,400,419,438,456,481,506,531,556,588,619,656,694,738,781,831,881,938,1000,1062,1131,1206,1288,1375,1469,1569,1675,1794,1919,2050,2194,2344,2506,2681,2869,3069,3281,3506,3750,4006,4281,4575,4888,5219,5575,5950,6350,6775,7231,7712,8225,8775,9356,9975,10631,11331,12075,12862,13700,14588,15531,16531,17594]",,,,10
,15120105,侘助,151201051,侘助普攻5,151201052,侘助普攻5,,15120105,cz_att5,,,,0,,1,1,1,0,8,,,"[169,175,181,188,200,212,225,238,250,262,275,288,300,312,325,344,362,381,400,419,438,456,481,506,531,556,588,619,656,694,738,781,831,881,938,1000,1062,1131,1206,1288,1375,1469,1569,1675,1794,1919,2050,2194,2344,2506,2681,2869,3069,3281,3506,3750,4006,4281,4575,4888,5219,5575,5950,6350,6775,7231,7712,8225,8775,9356,9975,10631,11331,12075,12862,13700,14588,15531,16531,17594]",,,,10
,15120106,侘助,151201061,袈裟斩,151201062,使用侘助进行上挑后，进行范围极大的斜斩。,,15120106,cz_jsz,15200201,,,1,,2,1,1,9,2,,,"[1013,1050,1088,1125,1200,1275,1350,1425,1500,1575,1650,1725,1800,1875,1950,2063,2175,2288,2400,2513,2625,2738,2888,3038,3188,3338,3525,3713,3938,4163,4425,4688,4988,5288,5625,6000,6375,6788,7238,7725,8250,8813,9413,10050,10763,11513,12300,13163,14063,15038,16088,17213,18413,19688,21038,22500,24038,25688,27450,29325,31313,33450,35700,38100,40650,43388,46275,49350,52650,56138,59850,63788,67988,72450,77175,82200,87525,93188,99188,105563]",,"[43,45,46,48,51,54,58,61,64,67,70,74,77,80,83,88,93,98,102,107,112,117,123,130,136,142,150,158,168,178,189,200,213,226,240,256,272,290,309,330,352,376,402,429,459,491,525,562,600,642,686,734,786,840,898,960,1026,1096,1171,1251,1336,1427,1523,1626,1734,1851,1974,2106,2246,2395,2554,2722,2901,3091,3293,3507,3734,3976,4232,4504]","[100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,300,300,300,400,400,400,400,500,500,600,600,700,700,800,800,900,1000,1000,1100,1200,1300,1400,1500,1600,1700,1900,2000,2100,2300,2400,2600,2800,3000,3200,3400,3600,3900,4100,4400,4700,5000,5300,5700,6000,6400,6800,7300,7700,8200,8800,9300,9900,10500,11200,11900,12600,13400,14200,15100,16000,17000]",10
,15120107,侘助,151201071,跃斩,151201072,利用侘助的重量，向前翻滚并且进行攻击。,原始技能,15120107,cz_yz,15200202,,,1,,2,1,1,8,5,,,"[472,490,508,525,560,595,630,665,700,735,770,805,840,875,910,962,1015,1068,1120,1172,1225,1278,1348,1418,1488,1558,1645,1732,1838,1942,2065,2188,2328,2468,2625,2800,2975,3168,3378,3605,3850,4112,4392,4690,5022,5372,5740,6142,6562,7018,7508,8032,8592,9188,9818,10500,11218,11988,12810,13685,14612,15610,16660,17780,18970,20248,21595,23030,24570,26198,27930,29768,31728,33810,36015,38360,40845,43488,46288,49262]",,"[50,52,54,56,60,63,67,71,75,78,82,86,90,93,97,103,108,114,119,125,131,136,144,151,159,166,175,185,196,207,220,233,248,263,280,299,317,338,360,385,411,439,469,500,536,573,612,655,700,749,801,857,917,980,1047,1120,1197,1279,1366,1460,1559,1665,1777,1897,2023,2160,2303,2457,2621,2794,2979,3175,3384,3606,3842,4092,4357,4639,4937,5255]","[117,117,117,117,233,233,233,233,233,233,233,233,233,233,233,350,350,350,350,350,350,350,467,467,467,467,583,583,700,700,817,817,933,933,1050,1167,1167,1283,1400,1517,1633,1750,1867,1983,2217,2333,2450,2683,2800,3033,3267,3500,3733,3967,4200,4550,4783,5133,5483,5833,6183,6650,7000,7467,7933,8517,8983,9567,10267,10850,11550,12250,13067,13883,14700,15633,16567,17617,18667,19833]",10
,15120108,侘助,151201081,重力加倍,151201082,向前方进行连续斩击并且使用侘助的能力，使对方困在原地，最终释放赤火炮。,原始技能,15120108,cz_zljb,15200203,"[15600401,15600402]",,1,,2,1,1,11,11,,,"[245,255,264,273,291,309,327,345,364,382,400,418,436,455,473,500,527,555,582,609,636,664,700,736,773,809,855,900,955,1009,1073,1136,1209,1282,1364,1455,1545,1645,1755,1873,2000,2136,2282,2436,2609,2791,2982,3191,3409,3645,3900,4173,4464,4773,5100,5455,5827,6227,6655,7109,7591,8109,8655,9236,9855,10518,11218,11964,12764,13609,14509,15464,16482,17564,18709,19927,21218,22591,24045,25591]",,"[58,60,62,64,68,73,77,81,85,90,94,98,102,107,111,117,124,130,137,143,149,156,164,173,181,190,201,211,224,237,252,267,284,301,320,341,363,386,412,439,469,501,535,572,612,655,700,749,800,855,915,979,1047,1120,1197,1280,1367,1461,1562,1668,1781,1903,2031,2167,2313,2468,2633,2807,2995,3194,3405,3629,3868,4122,4390,4676,4979,5301,5643,6005]","[133,133,133,133,267,267,267,267,267,267,267,267,267,267,267,400,400,400,400,400,400,400,533,533,533,533,667,667,800,800,933,933,1067,1067,1200,1333,1333,1467,1600,1733,1867,2000,2133,2267,2533,2667,2800,3067,3200,3467,3733,4000,4267,4533,4800,5200,5467,5867,6267,6667,7067,7600,8000,8533,9067,9733,10267,10933,11733,12400,13200,14000,14933,15867,16800,17867,18933,20133,21333,22667]",10
,15120109,侘助,151201091,跃斩-解放1,151201092,利用侘助的重量，向前翻滚并且进行攻击。,1减速,15120107,cz_yz,15300505,,,1,,2,1,1,8,5,,,"[540,560,580,600,640,680,720,760,800,840,880,920,960,1000,1040,1100,1160,1220,1280,1340,1400,1460,1540,1620,1700,1780,1880,1980,2100,2220,2360,2500,2660,2820,3000,3200,3400,3620,3860,4120,4400,4700,5020,5360,5740,6140,6560,7020,7500,8020,8580,9180,9820,10500,11220,12000,12820,13700,14640,15640,16700,17840,19040,20320,21680,23140,24680,26320,28080,29940,31920,34020,36260,38640,41160,43840,46680,49700,52900,56300]",,"[58,60,62,64,68,73,77,81,85,90,94,98,102,107,111,117,124,130,137,143,149,156,164,173,181,190,201,211,224,237,252,267,284,301,320,341,363,386,412,439,469,501,535,572,612,655,700,749,800,855,915,979,1047,1120,1197,1280,1367,1461,1562,1668,1781,1903,2031,2167,2313,2468,2633,2807,2995,3194,3405,3629,3868,4122,4390,4676,4979,5301,5643,6005]","[133,133,133,133,267,267,267,267,267,267,267,267,267,267,267,400,400,400,400,400,400,400,533,533,533,533,667,667,800,800,933,933,1067,1067,1200,1333,1333,1467,1600,1733,1867,2000,2133,2267,2533,2667,2800,3067,3200,3467,3733,4000,4267,4533,4800,5200,5467,5867,6267,6667,7067,7600,8000,8533,9067,9733,10267,10933,11733,12400,13200,14000,14933,15867,16800,17867,18933,20133,21333,22667]",10
,15120110,侘助,151201101,跃斩-解放2,151201102,利用侘助的重量，向前翻滚并且进行攻击。,2跳跃距离+减速,15120107,cz_yz_2,15300506,,,1,,2,1,1,8,5,,,"[675,700,725,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1375,1450,1525,1600,1675,1750,1825,1925,2025,2125,2225,2350,2475,2625,2775,2950,3125,3325,3525,3750,4000,4250,4525,4825,5150,5500,5875,6275,6700,7175,7675,8200,8775,9375,10025,10725,11475,12275,13125,14025,15000,16025,17125,18300,19550,20875,22300,23800,25400,27100,28925,30850,32900,35100,37425,39900,42525,45325,48300,51450,54800,58350,62125,66125,70375]",,"[72,75,77,80,85,91,96,101,107,112,117,123,128,133,139,147,155,163,171,179,187,195,205,216,227,237,251,264,280,296,315,333,355,376,400,427,453,483,515,549,587,627,669,715,765,819,875,936,1000,1069,1144,1224,1309,1400,1496,1600,1709,1827,1952,2085,2227,2379,2539,2709,2891,3085,3291,3509,3744,3992,4256,4536,4835,5152,5488,5845,6224,6627,7053,7507]","[167,167,167,167,333,333,333,333,333,333,333,333,333,333,333,500,500,500,500,500,500,500,667,667,667,667,833,833,1000,1000,1167,1167,1333,1333,1500,1667,1667,1833,2000,2167,2333,2500,2667,2833,3167,3333,3500,3833,4000,4333,4667,5000,5333,5667,6000,6500,6833,7333,7833,8333,8833,9500,10000,10667,11333,12167,12833,13667,14667,15500,16500,17500,18667,19833,21000,22333,23667,25167,26667,28333]",10
,15120111,侘助,151201111,重力加倍-解放1,151201112,向前方进行连续斩击并且使用侘助的能力，使对方困在原地，最终释放赤火炮。,1减速区延长,15120108,cz_zljb_2,15300507,"[15600403,15600404,15600405]",,1,,2,1,1,11,13,,,"[234,242,251,260,277,294,312,329,346,363,381,398,415,433,450,476,502,528,554,580,606,632,666,701,736,770,813,857,909,961,1021,1082,1151,1220,1298,1385,1471,1566,1670,1783,1904,2034,2172,2319,2484,2657,2838,3038,3245,3470,3712,3972,4249,4543,4855,5192,5547,5928,6335,6767,7226,7719,8238,8792,9381,10012,10679,11388,12150,12955,13812,14720,15689,16719,17810,18969,20198,21505,22889,24361]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
,15120112,侘助,151201121,重力加倍-解放2,151201122,向前方进行连续斩击并且使用侘助的能力，使对方困在原地，最终释放赤火炮。,2减速区延长+蓄力加火球伤害,15120108,cz_zljb_3,15300508,"[15600406,15600407,15600408,115600409]",,1,,2,1,1,11,15,,,"[247,257,266,275,293,312,330,348,367,385,403,422,440,458,477,504,532,559,587,614,642,669,706,742,779,816,862,907,962,1017,1082,1146,1219,1292,1375,1467,1558,1659,1769,1888,2017,2154,2301,2457,2631,2814,3007,3218,3438,3676,3932,4208,4501,4812,5142,5500,5876,6279,6710,7168,7654,8177,8727,9313,9937,10606,11312,12063,12870,13722,14630,15592,16619,17710,18865,20093,21395,22779,24246,25804]",,"[79,82,85,88,94,100,106,111,117,123,129,135,141,147,153,161,170,179,188,197,205,214,226,238,249,261,276,290,308,326,346,367,390,414,440,469,499,531,566,604,645,689,736,786,842,901,962,1030,1100,1176,1258,1346,1440,1540,1646,1760,1880,2009,2147,2294,2449,2617,2793,2980,3180,3394,3620,3860,4118,4391,4682,4990,5318,5667,6037,6430,6846,7289,7759,8257]","[183,183,183,183,367,367,367,367,367,367,367,367,367,367,367,550,550,550,550,550,550,550,733,733,733,733,917,917,1100,1100,1283,1283,1467,1467,1650,1833,1833,2017,2200,2383,2567,2750,2933,3117,3483,3667,3850,4217,4400,4767,5133,5500,5867,6233,6600,7150,7517,8067,8617,9167,9717,10450,11000,11733,12467,13383,14117,15033,16133,17050,18150,19250,20533,21817,23100,24567,26033,27683,29333,31167]",10
,15120201,飞梅,151202011,飞梅普攻1,151202012,飞梅普攻1,,15120201,fm_att1,,"[15600501,15600502]",,3,"[[15120201,15120202,15120203]]",1,1,2,0,4,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120202,飞梅,151202021,飞梅普攻2,151202022,飞梅普攻2,,15120202,fm_att2,,"[15600501,15600502]",,0,,1,1,2,0,4,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120203,飞梅,151202031,飞梅普攻3,151202032,飞梅普攻3,,15120203,fm_att3,,"[15600501,15600502]",,0,,1,1,2,0,4,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120204,飞梅,151202041,飞梅普攻4,151202042,飞梅普攻4,,15120204,fm_att4,,,,0,,1,1,2,0,4,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120205,飞梅,151202051,飞梅普攻5,151202052,飞梅普攻5,,15120205,fm_att5,,,,0,,1,1,2,0,4,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120206,飞梅,151202061,跃翔爆弹,151202062,瞬步到上方，然后诱发飞梅的力量连续释放火球并且引发爆炸。,,15120206,fm_ml,,"[15600503,15600504,15600505,15600506]",,3,,2,1,2,8,18,,,"[113,117,121,125,133,142,150,158,167,175,183,192,200,208,217,229,242,254,267,279,292,304,321,338,354,371,392,413,438,463,492,521,554,588,625,667,708,754,804,858,917,979,1046,1117,1196,1279,1367,1463,1563,1671,1788,1913,2046,2188,2338,2500,2671,2854,3050,3258,3479,3717,3967,4233,4517,4821,5142,5483,5850,6238,6650,7088,7554,8050,8575,9133,9725,10354,11021,11729]",,"[43,45,46,48,51,54,58,61,64,67,70,74,77,80,83,88,93,98,102,107,112,117,123,130,136,142,150,158,168,178,189,200,213,226,240,256,272,290,309,330,352,376,402,429,459,491,525,562,600,642,686,734,786,840,898,960,1026,1096,1171,1251,1336,1427,1523,1626,1734,1851,1974,2106,2246,2395,2554,2722,2901,3091,3293,3507,3734,3976,4232,4504]","[100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,300,300,300,400,400,400,400,500,500,600,600,700,700,800,800,900,1000,1000,1100,1200,1300,1400,1500,1600,1700,1900,2000,2100,2300,2400,2600,2800,3000,3200,3400,3600,3900,4100,4400,4700,5000,5300,5700,6000,6400,6800,7300,7700,8200,8800,9300,9900,10500,11200,11900,12600,13400,14200,15100,16000,17000]",10
,15120207,飞梅,151202071,火珠连射,151202072,诱发飞梅的力量，连续向前释放火球。,,15120207,fm_hzls,,"[15600507,15600508,15600509,15600510,15600511]",,2,,2,1,2,8,8,,,"[295,306,317,328,350,372,394,416,438,459,481,503,525,547,569,602,634,667,700,733,766,798,842,886,930,973,1028,1083,1148,1214,1291,1367,1455,1542,1641,1750,1859,1980,2111,2253,2406,2570,2745,2931,3139,3358,3588,3839,4102,4386,4692,5020,5370,5742,6136,6562,7011,7492,8006,8553,9133,9756,10412,11112,11856,12655,13497,14394,15356,16373,17456,18605,19830,21131,22509,23975,25528,27180,28930,30789]",,"[50,52,54,56,60,63,67,71,75,78,82,86,90,93,97,103,108,114,119,125,131,136,144,151,159,166,175,185,196,207,220,233,248,263,280,299,317,338,360,385,411,439,469,500,536,573,612,655,700,749,801,857,917,980,1047,1120,1197,1279,1366,1460,1559,1665,1777,1897,2023,2160,2303,2457,2621,2794,2979,3175,3384,3606,3842,4092,4357,4639,4937,5255]","[117,117,117,117,233,233,233,233,233,233,233,233,233,233,233,350,350,350,350,350,350,350,467,467,467,467,583,583,700,700,817,817,933,933,1050,1167,1167,1283,1400,1517,1633,1750,1867,1983,2217,2333,2450,2683,2800,3033,3267,3500,3733,3967,4200,4550,4783,5133,5483,5833,6183,6650,7000,7467,7933,8517,8983,9567,10267,10850,11550,12250,13067,13883,14700,15633,16567,17617,18667,19833]",10
,15120208,飞梅,151202081,飞梅炎弹,151202082,完全释放出飞梅的潜力，向前释放出巨型火球，并且形成爆炸。,,15120208,fm_fmzf,,"[15600512,15600513]",,3,,2,1,2,10,11,,,"[245,255,264,273,291,309,327,345,364,382,400,418,436,455,473,500,527,555,582,609,636,664,700,736,773,809,855,900,955,1009,1073,1136,1209,1282,1364,1455,1545,1645,1755,1873,2000,2136,2282,2436,2609,2791,2982,3191,3409,3645,3900,4173,4464,4773,5100,5455,5827,6227,6655,7109,7591,8109,8655,9236,9855,10518,11218,11964,12764,13609,14509,15464,16482,17564,18709,19927,21218,22591,24045,25591]",,"[58,60,62,64,68,73,77,81,85,90,94,98,102,107,111,117,124,130,137,143,149,156,164,173,181,190,201,211,224,237,252,267,284,301,320,341,363,386,412,439,469,501,535,572,612,655,700,749,800,855,915,979,1047,1120,1197,1280,1367,1461,1562,1668,1781,1903,2031,2167,2313,2468,2633,2807,2995,3194,3405,3629,3868,4122,4390,4676,4979,5301,5643,6005]","[133,133,133,133,267,267,267,267,267,267,267,267,267,267,267,400,400,400,400,400,400,400,533,533,533,533,667,667,800,800,933,933,1067,1067,1200,1333,1333,1467,1600,1733,1867,2000,2133,2267,2533,2667,2800,3067,3200,3467,3733,4000,4267,4533,4800,5200,5467,5867,6267,6667,7067,7600,8000,8533,9067,9733,10267,10933,11733,12400,13200,14000,14933,15867,16800,17867,18933,20133,21333,22667]",10
,15120209,飞梅,151202091,跃翔爆弹-解放1,151202092,瞬步到上方，然后诱发飞梅的力量连续释放火球并且引发爆炸。,1爆炸范围变大,15120206,fm_ml_2,,"[15600514,15600515,15600516,15600517,15600518,15600519]",,3,,2,1,2,8,22,,,"[107,111,115,119,127,135,143,151,159,167,175,183,191,199,207,219,231,243,255,266,278,290,306,322,338,354,374,394,418,441,469,497,529,561,597,636,676,720,768,819,875,935,998,1066,1141,1221,1305,1396,1491,1595,1706,1826,1953,2088,2231,2386,2549,2724,2911,3110,3321,3548,3786,4041,4311,4602,4908,5234,5584,5954,6348,6765,7211,7684,8185,8718,9283,9884,10520,11196]",,"[50,52,54,56,60,63,67,71,75,78,82,86,90,93,97,103,108,114,119,125,131,136,144,151,159,166,175,185,196,207,220,233,248,263,280,299,317,338,360,385,411,439,469,500,536,573,612,655,700,749,801,857,917,980,1047,1120,1197,1279,1366,1460,1559,1665,1777,1897,2023,2160,2303,2457,2621,2794,2979,3175,3384,3606,3842,4092,4357,4639,4937,5255]","[117,117,117,117,233,233,233,233,233,233,233,233,233,233,233,350,350,350,350,350,350,350,467,467,467,467,583,583,700,700,817,817,933,933,1050,1167,1167,1283,1400,1517,1633,1750,1867,1983,2217,2333,2450,2683,2800,3033,3267,3500,3733,3967,4200,4550,4783,5133,5483,5833,6183,6650,7000,7467,7933,8517,8983,9567,10267,10850,11550,12250,13067,13883,14700,15633,16567,17617,18667,19833]",10
,15120210,飞梅,151202101,跃翔爆弹-解放2,151202102,瞬步到上方，然后诱发飞梅的力量连续释放火球并且引发爆炸。,2大火球+爆炸范围变大,15120206,fm_ml_3,,"[15600520,15600521,15600522,15600523,15600524,15600525]",,3,,2,1,2,8,27,,,"[112,117,121,125,133,142,150,158,167,175,183,192,200,208,217,229,242,254,267,279,292,304,321,337,354,371,392,412,437,462,492,521,554,587,625,667,708,754,804,858,917,979,1046,1117,1196,1279,1367,1462,1562,1671,1787,1912,2046,2187,2337,2500,2671,2854,3050,3258,3479,3717,3967,4233,4517,4821,5142,5483,5850,6237,6650,7087,7554,8050,8575,9133,9725,10354,11021,11729]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
,15120211,飞梅,151202111,飞梅炎弹-解放1,151202112,完全释放出飞梅的潜力，向前释放出巨型火球，并且形成爆炸。,1攻击段数,15120208,fm_fmzf_2,,"[15600526,15600527,15600528]",,3,,2,1,2,10,15,,,"[202,210,217,225,240,255,270,285,300,315,330,345,360,375,390,412,435,457,480,502,525,547,577,607,637,667,705,742,787,832,885,937,997,1057,1125,1200,1275,1357,1447,1545,1650,1762,1882,2010,2152,2302,2460,2632,2812,3007,3217,3442,3682,3937,4207,4500,4807,5137,5490,5865,6262,6690,7140,7620,8130,8677,9255,9870,10530,11227,11970,12757,13597,14490,15435,16440,17505,18637,19837,21112]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
,15120212,飞梅,151202121,飞梅炎弹-解放2,151202122,完全释放出飞梅的潜力，向前释放出巨型火球，并且形成爆炸。,2攻击段数+小火球,15120208,fm_fmzf_3,,"[15600529,15600530,15600531,15600532,15600533,15600534,15600535,15600536,15600537]",,3,,2,1,2,10,15,,,"[247,257,266,275,293,312,330,348,367,385,403,422,440,458,477,504,532,559,587,614,642,669,706,742,779,816,862,907,962,1017,1082,1146,1219,1292,1375,1467,1558,1659,1769,1888,2017,2154,2301,2457,2631,2814,3007,3218,3438,3676,3932,4208,4501,4812,5142,5500,5876,6279,6710,7168,7654,8177,8727,9313,9937,10606,11312,12063,12870,13722,14630,15592,16619,17710,18865,20093,21395,22779,24246,25804]",,"[79,82,85,88,94,100,106,111,117,123,129,135,141,147,153,161,170,179,188,197,205,214,226,238,249,261,276,290,308,326,346,367,390,414,440,469,499,531,566,604,645,689,736,786,842,901,962,1030,1100,1176,1258,1346,1440,1540,1646,1760,1880,2009,2147,2294,2449,2617,2793,2980,3180,3394,3620,3860,4118,4391,4682,4990,5318,5667,6037,6430,6846,7289,7759,8257]","[183,183,183,183,367,367,367,367,367,367,367,367,367,367,367,550,550,550,550,550,550,550,733,733,733,733,917,917,1100,1100,1283,1283,1467,1467,1650,1833,1833,2017,2200,2383,2567,2750,2933,3117,3483,3667,3850,4217,4400,4767,5133,5500,5867,6233,6600,7150,7517,8067,8617,9167,9717,10450,11000,11733,12467,13383,14117,15033,16133,17050,18150,19250,20533,21817,23100,24567,26033,27683,29333,31167]",10
,15120213,飞梅,151202131,火珠连射,151202132,诱发飞梅的力量，连续向前释放火球。,,15120207,fm_hzls_2,,"[15600507,15600508,15600509,15600510,15600511]",,2,,2,1,2,8,12,,,"[197,204,211,219,233,248,262,277,292,306,321,335,350,365,379,401,423,445,467,489,510,532,561,591,620,649,685,722,766,809,860,911,970,1028,1094,1167,1240,1320,1407,1502,1604,1714,1830,1954,2093,2239,2392,2559,2734,2924,3128,3347,3580,3828,4091,4375,4674,4995,5338,5702,6089,6504,6942,7408,7904,8436,8998,9596,10238,10916,11638,12403,13220,14088,15006,15983,17019,18120,19286,20526]",,"[50,52,54,56,60,63,67,71,75,78,82,86,90,93,97,103,108,114,119,125,131,136,144,151,159,166,175,185,196,207,220,233,248,263,280,299,317,338,360,385,411,439,469,500,536,573,612,655,700,749,801,857,917,980,1047,1120,1197,1279,1366,1460,1559,1665,1777,1897,2023,2160,2303,2457,2621,2794,2979,3175,3384,3606,3842,4092,4357,4639,4937,5255]","[117,117,117,117,233,233,233,233,233,233,233,233,233,233,233,350,350,350,350,350,350,350,467,467,467,467,583,583,700,700,817,817,933,933,1050,1167,1167,1283,1400,1517,1633,1750,1867,1983,2217,2333,2450,2683,2800,3033,3267,3500,3733,3967,4200,4550,4783,5133,5483,5833,6183,6650,7000,7467,7933,8517,8983,9567,10267,10850,11550,12250,13067,13883,14700,15633,16567,17617,18667,19833]",10
