$,int,int,Skip,int,int,int,int,int,int,int,Array,int,int,Boolean,int,int,Array,Array,Array,int,Array,int,Array,Array,Array,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,14100077,141000771,前往忏罪宫3,14300009,14100077,11200623,42,29000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26850,38530]","[2,3]","[2000,4000]",5,62300,0,0,0,9968,9968,9968,9968,498400,0,62300,0,11214,11214,11214,11214,10
,14100078,141000781,前往忏罪宫4,14300009,14100078,11200626,43,31000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234030,17100103]]",3,"[26775,38495]","[2,3]","[2000,4000]",5,65600,0,0,0,10496,10496,10496,10496,524800,0,65600,0,11808,11808,11808,11808,10
,14100079,141000791,继续前进1,14300010,14100079,11200107,43,31000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234031,17100103]]",3,"[26775,38495]","[2,3]","[2000,4000]",5,65600,0,0,0,10496,10496,10496,10496,524800,0,65600,0,11808,11808,11808,11808,10
,14100080,141000801,继续前进2,14300010,14100080,11200627,44,32000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234032,17100103]]",3,"[26700,38460]","[2,3]","[2000,4000]",5,69050,0,0,0,11048,11048,11048,11048,552400,0,69050,0,12429,12429,12429,12429,10
,14100081,141000811,继续前进3,14300010,14100081,11200624,44,32000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234033,17100103]]",3,"[26700,38460]","[2,3]","[2000,4000]",5,69050,0,0,0,11048,11048,11048,11048,552400,0,69050,0,12429,12429,12429,12429,10
,14100082,141000821,继续前进4,14300010,14100082,11200113,45,34000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234034,17100103]]",3,"[26625,38425]","[2,3]","[2000,4000]",5,72350,0,0,0,11576,11576,11576,11576,578800,0,72350,0,13023,13023,13023,13023,10
,14100083,141000831,强大的敌人,14300010,14100083,11200628,45,34000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26625,38425]","[2,3]","[2000,4000]",5,72350,0,0,0,11576,11576,11576,11576,578800,0,72350,0,13023,13023,13023,13023,10
,14100084,141000841,努力训练１,14300010,14100084,11200625,46,37000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234035,17100103]]",3,"[26550,38390]","[2,3]","[2000,4000]",5,77650,0,0,0,12424,12424,12424,12424,621200,0,77650,0,13977,13977,13977,13977,10
,14100085,141000851,努力训练2,14300010,14100085,11200115,46,37000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26550,38390]","[2,3]","[2000,4000]",5,77650,0,0,0,12424,12424,12424,12424,621200,0,77650,0,13977,13977,13977,13977,10
,14100086,141000861,努力训练3,14300010,14100086,11200629,47,39000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234036,17100103]]",3,"[26475,38355]","[2,3]","[2000,4000]",5,83000,0,0,0,13280,13280,13280,13280,664000,0,83000,0,14940,14940,14940,14940,10
,14100087,141000871,特训的成果,14300011,14100087,11200112,47,39000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234041,17100103]]",3,"[26475,38355]","[2,3]","[2000,4000]",5,83000,0,0,0,13280,13280,13280,13280,664000,0,83000,0,14940,14940,14940,14940,10
,14100088,141000881,错过,14300011,14100088,11200628,48,42000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234042,17100103]]",3,"[26400,38320]","[2,3]","[2000,4000]",5,88300,0,0,0,14128,14128,14128,14128,706400,0,88300,0,15894,15894,15894,15894,10
,14100089,141000891,白色巨塔,14300011,14100089,11200626,48,42000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234037,17100103]]",3,"[26400,38320]","[2,3]","[2000,4000]",5,88300,0,0,0,14128,14128,14128,14128,706400,0,88300,0,15894,15894,15894,15894,10
,14100090,141000901,炙热的信赖,14300011,14100090,11200631,49,45000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234038,17100103]]",3,"[26325,38285]","[2,3]","[2000,4000]",5,96100,0,0,0,15376,15376,15376,15376,768800,0,96100,0,17298,17298,17298,17298,11
,14100091,141000911,漫长的台阶,14300011,14100091,11200113,49,45000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234039,17100103]]",3,"[26325,38285]","[2,3]","[2000,4000]",5,96100,0,0,0,15376,15376,15376,15376,768800,0,96100,0,17298,17298,17298,17298,11
,14100092,141000921,强烈的杀气,14300011,14100092,11200629,50,49000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234040,17100103]]",3,"[26250,38250]","[2,3]","[2000,4000]",5,103900,0,0,0,16624,16624,16624,16624,831200,0,103900,0,18702,18702,18702,18702,11
,14100093,141000931,不死之身,14300011,14100093,11200635,50,49000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26250,38250]","[2,3]","[2000,4000]",5,103900,0,0,0,16624,16624,16624,16624,831200,0,103900,0,18702,18702,18702,18702,11
,14100094,141000941,假扮死神,14300011,14100094,11200120,51,55000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26175,38215]","[2,3]","[2000,4000]",5,119100,0,0,0,19056,19056,19056,19056,952800,0,119100,0,21438,21438,21438,21438,11
,14100095,141000951,转危为安？,14300011,14100095,11200632,52,61000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26100,38180]","[2,3]","[2000,4000]",5,134300,0,0,0,21488,21488,21488,21488,1074400,0,134300,0,24174,24174,24174,24174,11
,14100096,141000961,技术狂人,14300012,14100096,11200630,53,67000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234043,17100103]]",3,"[26025,38145]","[2,3]","[2000,4000]",5,149500,0,0,0,23920,23920,23920,23920,1196000,0,149500,0,26910,26910,26910,26910,11
,14100097,141000971,营救露琪亚,14300012,14100097,11200624,54,73000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[25950,38110]","[2,3]","[2000,4000]",5,164650,0,0,0,26344,26344,26344,26344,1317200,0,164650,0,29637,29637,29637,29637,11
,14100098,141000981,救治一护,14300012,14100098,11200115,55,80000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234044,17100103]]",3,"[25875,38075]","[2,3]","[2000,4000]",5,181150,0,0,0,28984,28984,28984,28984,1449200,0,181150,0,32607,32607,32607,32607,11
,14100099,141000991,查看周边,14300012,14100099,11200634,56,88000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[25800,38040]","[2,3]","[2000,4000]",5,200100,0,0,0,32016,32016,32016,32016,1600800,0,200100,0,36018,36018,36018,36018,11
,14100100,141001001,救助好友,14300012,14100100,11200625,57,96000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234045,17100103]]",3,"[25725,38005]","[2,3]","[2000,4000]",5,220400,0,0,0,35264,35264,35264,35264,1763200,0,220400,0,39672,39672,39672,39672,11
,14100101,141001011,重逢1,14300012,14100101,11200115,58,109000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234046,17100103]]",3,"[25650,37970]","[2,3]","[2000,4000]",5,243250,0,0,0,38920,38920,38920,38920,1946000,0,243250,0,43785,43785,43785,43785,11
,14100102,141001021,重逢2,14300012,14100102,11200636,59,119000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234047,17100103]]",3,"[25575,37935]","[2,3]","[2000,4000]",5,268000,0,0,0,42880,42880,42880,42880,2144000,0,268000,0,48240,48240,48240,48240,12
,14100103,141001031,修炼卍解1,14300012,14100103,11200613,60,129000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[25500,37900]","[2,3]","[2000,4000]",5,294650,0,0,0,47144,47144,47144,47144,2357200,0,294650,0,53037,53037,53037,53037,12
,14100104,141001041,修炼卍解2,14300012,14100104,11200635,61,139000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234048,17100103]]",3,"[25425,37865]","[2,3]","[2000,4000]",5,323900,0,0,0,51824,51824,51824,51824,2591200,0,323900,0,58302,58302,58302,58302,12
,14100105,141001051,咆哮吧！日番谷,14300013,14100105,11200623,62,149000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234049,17100103]]",3,"[25350,37830]","[2,3]","[2000,4000]",5,355050,0,0,0,56808,56808,56808,56808,2840400,0,355050,0,63909,63909,63909,63909,12
,14100106,141001061,是敌是友,14300013,14100106,11200120,63,159000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234050,17100103]]",3,"[25275,37795]","[2,3]","[2000,4000]",5,388800,0,0,0,62208,62208,62208,62208,3110400,0,388800,0,69984,69984,69984,69984,12
,14100107,141001071,刑期提前,14300013,14100107,11200633,64,179000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[25200,37760]","[2,3]","[2000,4000]",5,425150,0,0,0,68024,68024,68024,68024,3401200,0,425150,0,76527,76527,76527,76527,12
,14100108,141001081,永不放弃,14300013,14100108,11200631,65,189000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234051,17100103]]",3,"[25125,37725]","[2,3]","[2000,4000]",5,464700,0,0,0,74352,74352,74352,74352,3717600,0,464700,0,83646,83646,83646,83646,12
,14100109,141001091,绝对的差距,14300013,14100109,11200636,66,209000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234053,17100103]]",3,"[25050,37690]","[2,3]","[2000,4000]",5,506900,0,0,0,81104,81104,81104,81104,4055200,0,506900,0,91242,91242,91242,91242,12
,14100110,141001101,剑八的协助,14300013,14100110,11200625,67,229000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[24975,37655]","[2,3]","[2000,4000]",5,552250,0,0,0,88360,88360,88360,88360,4418000,0,552250,0,99405,99405,99405,99405,12
,14100111,141001111,正义的伙伴,14300013,14100111,11200639,68,249000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234052,17100103]]",3,"[24900,37620]","[2,3]","[2000,4000]",5,600750,0,0,0,96120,96120,96120,96120,4806000,0,600750,0,108135,108135,108135,108135,12
,14100112,141001121,杀戮战场,14300013,14100112,11200634,69,269000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[24825,37585]","[2,3]","[2000,4000]",5,652500,0,0,0,104400,104400,104400,104400,5220000,0,652500,0,117450,117450,117450,117450,12
,14100113,141001131,实现的誓言,14300013,14100113,11200632,70,289000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234054,17100103]]",3,"[24750,37550]","[2,3]","[2000,4000]",5,708150,0,0,0,113304,113304,113304,113304,5665200,0,708150,0,127467,127467,127467,127467,13
,14100114,141001141,阻止追击者1,14300014,14100114,11200630,71,309000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234055,17100103]]",3,"[24675,37515]","[2,3]","[2000,4000]",5,767550,0,0,0,122808,122808,122808,122808,6140400,0,767550,0,138159,138159,138159,138159,13
,14100115,141001151,阻止追击者2,14300014,14100115,11200628,72,339000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234056,17100103]]",3,"[24600,37480]","[2,3]","[2000,4000]",5,830150,0,0,0,132824,132824,132824,132824,6641200,0,830150,0,149427,149427,149427,149427,13
,14100116,141001161,千本樱，粉碎,14300014,14100116,11200636,73,359000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234057,17100103]]",3,"[24525,37445]","[2,3]","[2000,4000]",5,897250,0,0,0,143560,143560,143560,143560,7178000,0,897250,0,161505,161505,161505,161505,13
,14100117,141001171,不可原谅1,14300014,14100117,11200627,74,389000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[24450,37410]","[2,3]","[2000,4000]",5,968850,0,0,0,155016,155016,155016,155016,7750800,0,968850,0,174393,174393,174393,174393,13
,14100118,141001181,不可原谅2,14300014,14100118,11200624,75,419000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234058,17100103]]",3,"[24375,37375]","[2,3]","[2000,4000]",5,1044950,0,0,0,167192,167192,167192,167192,8359600,0,1044950,0,188091,188091,188091,188091,13
,14100119,141001191,最强死神,14300014,14100119,11200638,76,449000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[24300,37340]","[2,2]","[2000,4000]",5,1125550,0,0,0,180088,180088,180088,180088,9004400,0,1125550,0,202599,202599,202599,202599,13
,14100120,141001201,死而复生？,14300014,14100120,11200639,77,489000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234059,17100103]]",3,"[24225,37305]","[2,2]","[2000,4000]",5,1211200,0,0,0,193792,193792,193792,193792,9689600,0,1211200,0,218016,218016,218016,218016,13
,14100121,141001211,取出崩玉,14300014,14100121,11200623,78,519000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[24150,37270]","[2,2]","[2000,4000]",5,1302100,0,0,0,208336,208336,208336,208336,10416800,0,1302100,0,234378,234378,234378,234378,13
,14100122,141001221,立于苍天,14300014,14100122,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234060,17100103]]",3,"[24075,37235]","[2,2]","[2000,4000]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100123,141001231,破面袭来,14300015,14100123,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,201]","[0,0,1]","[1000,500,251]",,"[[16205004,17100100],[16234060,17100104]]",4,"[24075,37236]","[2,3]","[2000,4001]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100124,141001241,一角VS破面13,14300015,14100124,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,202]","[0,0,2]","[1000,500,252]",,"[[16205004,17100100],[16234060,17100105]]",5,"[24075,37237]","[2,4]","[2000,4002]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100125,141001251,"觉醒吧,火山兽",14300015,14100125,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,203]","[0,0,3]","[1000,500,253]",,"[[16205004,17100100],[16234060,17100106]]",6,"[24075,37238]","[2,5]","[2000,4003]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100126,141001261,恋次VS破面15,14300015,14100126,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,204]","[0,0,4]","[1000,500,254]",,"[[16205004,17100100],[16234060,17100107]]",7,"[24075,37239]","[2,6]","[2000,4004]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100127,141001271,撞碎吧，苍角王子,14300015,14100127,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,205]","[0,0,5]","[1000,500,255]",,"[[16205004,17100100],[16234060,17100108]]",8,"[24075,37240]","[2,7]","[2000,4005]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100128,141001281,日番谷VS破面11,14300015,14100128,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,206]","[0,0,6]","[1000,500,256]",,"[[16205004,17100100],[16234060,17100109]]",9,"[24075,37241]","[2,8]","[2000,4006]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100129,141001291,站起吧，五铗虫,14300015,14100129,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,207]","[0,0,7]","[1000,500,257]",,"[[16205004,17100100],[16234060,17100110]]",10,"[24075,37242]","[2,9]","[2000,4007]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100130,141001301,守护者VS承担者,14300015,14100130,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,208]","[0,0,8]","[1000,500,258]",,"[[16205004,17100100],[16234060,17100111]]",11,"[24075,37243]","[2,10]","[2000,4008]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100131,141001311,抑制虚的方法,14300016,14100131,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,209]","[0,0,9]","[1000,500,259]",,"[[16205004,17100100],[16234060,17100112]]",12,"[24075,37244]","[2,11]","[2000,4009]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100132,141001321,虚化的修炼1,14300016,14100132,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,210]","[0,0,10]","[1000,500,260]",,"[[16205004,17100100],[16234060,17100113]]",13,"[24075,37245]","[2,12]","[2000,4010]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100133,141001331,灵魂的记忆1,14300016,14100133,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,211]","[0,0,11]","[1000,500,261]",,"[[16205004,17100100],[16234060,17100114]]",14,"[24075,37246]","[2,13]","[2000,4011]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100134,141001341,虚化的修炼2,14300016,14100134,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,212]","[0,0,12]","[1000,500,262]",,"[[16205004,17100100],[16234060,17100115]]",15,"[24075,37247]","[2,14]","[2000,4012]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100135,141001351,虚化的修炼3,14300016,14100135,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,213]","[0,0,13]","[1000,500,263]",,"[[16205004,17100100],[16234060,17100116]]",16,"[24075,37248]","[2,15]","[2000,4013]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100136,141001361,灵魂的记忆2,14300016,14100136,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,214]","[0,0,14]","[1000,500,264]",,"[[16205004,17100100],[16234060,17100117]]",17,"[24075,37249]","[2,16]","[2000,4014]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100137,141001371,虚化的修炼4,14300016,14100137,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,215]","[0,0,15]","[1000,500,265]",,"[[16205004,17100100],[16234060,17100118]]",18,"[24075,37250]","[2,17]","[2000,4015]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100138,141001381,虚化的修炼5,14300016,14100138,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,216]","[0,0,16]","[1000,500,266]",,"[[16205004,17100100],[16234060,17100119]]",19,"[24075,37251]","[2,18]","[2000,4016]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14100139,141001391,完全虚化,14300016,14100139,11200641,79,559000,1,2,,5,5,TRUE,0,240,"[0,100,217]","[0,0,17]","[1000,500,267]",,"[[16205004,17100100],[16234060,17100120]]",20,"[24075,37252]","[2,19]","[2000,4017]",5,1398750,0,0,0,223800,223800,223800,223800,11190000,0,1398750,0,251775,251775,251775,251775,13
,14101001,141010011,来到现世,14300001,14101001,11200602,18,12000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206001,17100102],[16236073,17100101]]",3,"[19100,26247]","[2,2]","[3000,6000]",3,14910,0,0,0,2130,2130,2130,2130,127800,0,10650,0,2769,2769,2769,2769,13
,14101002,141010021,代理死神,14300001,14101002,11200601,18,14000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206002,17100102],[16236072,17100101]]",3,"[19000,26200]","[2,2]","[3000,6000]",3,16450,0,0,0,2350,2350,2350,2350,141000,0,11750,0,3055,3055,3055,3055,13
,14101003,141010031,哥哥的回忆,14300001,14101003,11200603,19,16000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206003,17100102],[16236065,17100101]]",3,"[18900,26154]","[2,2]","[3000,6000]",3,19810,0,0,0,2830,2830,2830,2830,169800,0,14150,0,3679,3679,3679,3679,14
,14101004,141010041,妹妹的思念,14300001,14101004,11200603,19,18000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206004,17100102],[16236064,17100101]]",3,"[18800,26107]","[2,2]","[3000,6000]",3,23380,0,0,0,3340,3340,3340,3340,200400,0,16700,0,4342,4342,4342,4342,15
,14101005,141010051,学校大乱,14300002,14101005,11200605,20,18000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206005,17100102],[16236067,17100101]]",3,"[18800,26107]","[2,2]","[3000,6000]",3,23380,0,0,0,3340,3340,3340,3340,200400,0,16700,0,4342,4342,4342,4342,15
,14101006,141010061,尸魂界来者,14300002,14101006,11200602,21,18000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206006,17100102],[16236066,17100101]]",3,"[18800,26107]","[2,2]","[3000,6000]",3,23380,0,0,0,3340,3340,3340,3340,200400,0,16700,0,4342,4342,4342,4342,15
,14101007,141010071,隐秘机动队,14300002,14101007,11200606,22,20000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206007,17100102],[16236063,17100101]]",3,"[18750,26084]","[2,2]","[3000,6000]",3,25270,0,0,0,3610,3610,3610,3610,216600,0,18050,0,4693,4693,4693,4693,15
,14101008,141010081,雨的记忆,14300002,14101008,11200607,23,20000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206008,17100102],[16236059,17100101]]",3,"[18750,26084]","[2,2]","[3000,6000]",3,25270,0,0,0,3610,3610,3610,3610,216600,0,18050,0,4693,4693,4693,4693,15
,14101009,141010091,魂之大作战,14300003,14101009,11200608,24,21000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206009,17100102],[16236061,17100101]]",3,"[18700,26060]","[1,2]","[3000,6000]",3,28560,0,0,0,4080,4080,4080,4080,244800,0,20400,0,5304,5304,5304,5304,15
,14101010,141010101,灭却师的憎恨,14300003,14101010,11200609,25,21000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206010,17100102],[16236009,17100101]]",3,"[18700,26060]","[1,2]","[3000,6000]",3,28560,0,0,0,4080,4080,4080,4080,244800,0,20400,0,5304,5304,5304,5304,15
,14101011,141010111,温柔的右手,14300003,14101011,11200611,26,21000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206011,17100102],[16236007,17100101]]",3,"[18700,26060]","[1,2]","[3000,6000]",3,28560,0,0,0,4080,4080,4080,4080,244800,0,20400,0,5304,5304,5304,5304,15
,14101012,141010121,浩劫,14300003,14101012,11200603,27,25000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206012,17100102],[16236076,17100101]]",3,"[18600,26014]","[1,2]","[3000,6000]",3,35700,0,0,0,5100,5100,5100,5100,306000,0,25500,0,6630,6630,6630,6630,16
,14101013,141010131,最后的灭却师,14300003,14101013,11200609,28,25000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206013,17100102],[16236009,17100101]]",3,"[18600,26014]","[1,2]","[3000,6000]",3,35700,0,0,0,5100,5100,5100,5100,306000,0,25500,0,6630,6630,6630,6630,16
,14101014,141010141,抵抗,14300004,14101014,11200608,29,30000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206014,17100102],[16236075,17100101]]",3,"[18500,25967]","[1,2]","[3000,6000]",3,43260,0,0,0,6180,6180,6180,6180,370800,0,30900,0,8034,8034,8034,8034,16
,14101015,141010151,花与虚,14300004,14101015,11200610,29,30000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206015,17100102],[16236078,17100101]]",3,"[18500,25967]","[1,2]","[3000,6000]",3,43260,0,0,0,6180,6180,6180,6180,370800,0,30900,0,8034,8034,8034,8034,16
,14101016,141010161,前奏,14300004,14101016,11200601,30,33000,2,2,,10,10,TRUE,0,180,"[0,100,250]","[0,0,0]","[2000,800,400]",,"[[16205005,17100100],[16206016,17100102],[16236069,17100101]]",3,"[18400,25920]","[1,2]","[3000,6000]",3,48510,0,0,0,6930,6930,6930,6930,415800,0,34650,0,9009,9009,9009,9009,17
