$,int,int,Skip,int,Skip,int,int,int,Boolean,int,int,Array,Array,int,int,Array,Array,int,Array,Array,int,Array,Array
,12300024,123000241,吉良伊鹤,123000242,"该灵魂装备后增加主角体质和血量,且释放【袈裟斩】有一定概率眩晕目标",12300024,3,4,TRUE,1,12800108,"[458,1373,2746,4576,6864]","[366,1098,2196,3661,5491]",1,12800101,"[2062,2151,2240,2335,2436,2544,2658,2772,2892,3019,3152,3292,3444,3602,3767,3938,4122,4312,4514,4723,4945,5180,5420,5674,5940,6219,6517,6827,7150,7492,7853,8234,8633,9051,9488,9944,10426,10933,11465,12023,12605,13220,13866,14544,15254,16002,16787,17611,18479,19385,20342,21343,22395,23497,24657,25873,27153,28496,29903,31379,32931,34560,36270,38070,39958,41941,44026,46212,48505,50913,53441,56096,58884,61811,64884,68115,71505,75066,78804,82732]","[41,43,45,47,49,51,53,55,58,60,63,66,69,72,75,79,82,86,90,94,99,104,108,113,119,124,130,137,143,150,157,165,173,181,190,199,209,219,229,240,252,264,277,291,305,320,336,352,370,388,407,427,448,470,493,517,543,570,598,628,659,691,725,761,799,839,881,924,970,1018,1069,1122,1178,1236,1298,1362,1430,1501,1576,1655]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15104001,15104002,15104003,15104004,15104005]",12900024,"[16600011,16600032]",[]
,12300025,123000251,卯之花烈,123000252,该灵魂装备后增加主角体质和物理防御，且受击后概率解除眩晕、冰冻、混乱状态,12300025,2,5,FALSE,1,12800108,"[683,2049,4099,6831,10246]","[546,1639,3279,5465,8197]",1,12800104,"[858,895,932,972,1014,1059,1106,1154,1204,1256,1312,1370,1433,1499,1568,1639,1715,1794,1879,1966,2058,2156,2256,2361,2472,2588,2712,2841,2976,3118,3268,3427,3593,3767,3949,4138,4339,4550,4771,5003,5246,5502,5771,6053,6348,6659,6986,7329,7690,8067,8465,8882,9320,9779,10261,10767,11300,11859,12444,13059,13705,14382,15094,15843,16629,17454,18322,19232,20186,21188,22240,23345,24505,25723,27002,28347,29758,31239,32795,34430]","[86,90,93,97,101,106,111,115,120,126,131,137,143,150,157,164,172,179,188,197,206,216,226,236,247,259,271,284,298,312,327,343,359,377,395,414,434,455,477,500,525,550,577,605,635,666,699,733,769,807,847,888,932,978,1026,1077,1130,1186,1244,1306,1370,1438,1509,1584,1663,1745,1832,1923,2019,2119,2224,2334,2451,2572,2700,2835,2976,3124,3280,3443]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]","[15101601,15101602,15101603,15101604,15101605]",12900025,"[16600012,16600055]",[]
,12300026,123000261,虎彻勇音,123000262,该灵魂装备后增加主角精神和灵力防御,12300026,2,3,TRUE,1,12800110,"[74,221,442,736,1104]","[59,177,353,589,883]",1,12800106,"[232,242,252,263,275,287,300,312,326,340,355,371,388,406,425,444,465,486,509,532,557,584,611,640,670,701,735,770,806,845,885,928,973,1020,1070,1121,1175,1232,1292,1355,1421,1490,1563,1640,1720,1804,1892,1985,2083,2185,2293,2406,2524,2649,2779,2917,3061,3212,3371,3537,3712,3896,4089,4292,4504,4728,4963,5209,5468,5739,6024,6324,6638,6968,7314,7678,8061,8462,8883,9326]","[23,24,25,26,27,29,30,31,33,34,36,37,39,41,42,44,46,49,51,53,56,58,61,64,67,70,73,77,81,84,89,93,97,102,107,112,118,123,129,136,142,149,156,164,172,180,189,199,208,219,229,241,252,265,278,292,306,321,337,354,371,390,409,429,450,473,496,521,547,574,602,632,664,697,731,768,806,846,888,933]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]",,12900026,[16600012],[]
,12300027,123000271,虎彻清音,123000272,该灵魂装备后增加主角灵力和物理防御,12300027,2,2,TRUE,1,12800111,"[55,166,331,552,828]","[44,132,265,442,662]",1,12800104,"[155,162,168,175,183,191,200,208,217,227,237,247,259,271,283,296,310,324,339,355,372,389,407,426,446,467,490,513,537,563,590,619,649,680,713,747,784,822,862,904,947,994,1042,1093,1146,1203,1262,1323,1389,1457,1529,1604,1683,1766,1853,1944,2041,2142,2247,2358,2475,2597,2726,2861,3003,3152,3309,3473,3645,3826,4016,4216,4425,4645,4876,5119,5374,5641,5922,6217]","[15,16,17,18,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,35,37,39,41,43,45,47,49,51,54,56,59,62,65,68,71,75,78,82,86,90,95,99,104,109,115,120,126,132,139,146,153,160,168,177,185,194,204,214,225,236,247,260,273,286,300,315,331,347,365,383,402,422,443,465,488,512,537,564,592,622]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]",,12900027,,[]
,12300028,123000281,山田花太郎,123000282,该灵魂装备后增加主角力量和灵力防御,12300028,2,2,TRUE,1,12800109,"[54,162,324,540,810]","[43,130,259,432,648]",1,12800106,"[142,148,154,160,167,175,183,190,199,207,217,226,237,247,259,270,283,296,310,324,340,356,372,390,408,427,448,469,491,515,539,566,593,622,652,683,716,751,787,826,866,908,952,999,1048,1099,1153,1210,1269,1331,1397,1466,1538,1614,1694,1777,1865,1957,2054,2155,2262,2374,2491,2615,2745,2881,3024,3174,3332,3497,3671,3853,4045,4246,4457,4679,4911,5156,5413,5683]","[14,15,15,16,17,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,36,37,39,41,43,45,47,49,51,54,57,59,62,65,68,72,75,79,83,87,91,95,100,105,110,115,121,127,133,140,147,154,161,169,178,187,196,205,216,226,237,249,261,274,288,302,317,333,350,367,385,404,425,446,468,491,516,541,568]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]",,12900028,[16600039],[]
,12300029,123000291,蓝染惣右介,123000292,该灵魂装备后增加主角精神和灵压强度，且增加【幻步】技能的伤害,12300029,3,4,FALSE,1,12800110,"[572,1716,3432,5720,8580]","[458,1373,2746,4576,6864]",1,12800122,"[521,543,566,590,615,642,671,700,730,762,796,831,870,910,951,994,1041,1089,1140,1193,1249,1308,1369,1433,1500,1570,1646,1724,1806,1892,1983,2079,2180,2286,2396,2511,2633,2761,2895,3036,3183,3338,3502,3673,3852,4041,4239,4447,4666,4895,5137,5390,5655,5934,6226,6534,6857,7196,7551,7924,8316,8727,9159,9614,10090,10591,11118,11670,12249,12857,13495,14166,14870,15609,16385,17201,18057,18956,19900,20892]","[52,54,57,59,62,64,67,70,73,76,80,83,87,91,95,99,104,109,114,119,125,131,137,143,150,157,165,172,181,189,198,208,218,229,240,251,263,276,290,304,318,334,350,367,385,404,424,445,467,490,514,539,566,593,623,653,686,720,755,792,832,873,916,961,1009,1059,1112,1167,1225,1286,1350,1417,1487,1561,1638,1720,1806,1896,1990,2089]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15101701,15101702,15101703,15101704,15101705]",12900029,"[16600013,16600033]","[90_Aizen,77]"
,12300030,123000301,蓝染惣右介<白装>,123000302,该灵魂装备后增加主角灵力和灵压强度，且可同时释放两个黑棺,12300030,3,5,FALSE,1,12800111,"[883,2650,5299,8832,13248]","[707,2120,4239,7066,10598]",1,12800122,"[1083,1130,1176,1226,1280,1336,1396,1456,1519,1586,1656,1729,1809,1892,1978,2068,2165,2265,2371,2481,2598,2721,2847,2980,3120,3266,3423,3586,3756,3935,4125,4325,4534,4754,4984,5223,5476,5742,6022,6315,6621,6944,7283,7639,8012,8405,8818,9250,9706,10182,10685,11210,11763,12342,12951,13590,14262,14968,15706,16482,17297,18153,19051,19996,20988,22030,23125,24273,25478,26742,28070,29464,30929,32466,34080,35778,37558,39428,41392,43455]","[108,113,118,123,128,134,140,146,152,159,166,173,181,189,198,207,216,226,237,248,260,272,285,298,312,327,342,359,376,394,413,432,453,475,498,522,548,574,602,631,662,694,728,764,801,840,882,925,971,1018,1068,1121,1176,1234,1295,1359,1426,1497,1571,1648,1730,1815,1905,2000,2099,2203,2312,2427,2548,2674,2807,2946,3093,3247,3408,3578,3756,3943,4139,4346]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15101801,15101802,15101803,15101804,15101805]",12900030,"[16600041,16600057]","[91_Aizen,78]"
,12300031,123000311,雏森桃,123000312,该灵魂装备后增加主角灵力和物理防御，且增加【火珠连射】的伤害和飞弹数量,12300031,2,4,TRUE,1,12800111,"[444,1333,2666,4444,6666]","[356,1067,2133,3555,5333]",1,12800104,"[404,422,439,458,477,499,521,543,567,592,618,645,675,706,738,772,808,845,885,926,969,1015,1062,1112,1164,1219,1277,1338,1401,1468,1539,1613,1692,1774,1859,1949,2043,2142,2247,2356,2470,2591,2717,2850,2989,3136,3290,3451,3621,3799,3986,4182,4388,4604,4832,5070,5321,5584,5860,6149,6453,6772,7108,7460,7830,8219,8627,9056,9505,9977,10472,10993,11539,12112,12715,13348,14012,14710,15442,16212]","[40,42,44,46,48,50,52,54,57,59,62,65,67,71,74,77,81,84,88,93,97,102,106,111,116,122,128,134,140,147,154,161,169,177,186,195,204,214,225,236,247,259,272,285,299,314,329,345,362,380,399,418,439,460,483,507,532,558,586,615,645,677,711,746,783,822,863,906,951,998,1047,1099,1154,1211,1271,1335,1401,1471,1544,1621]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15103901,15103902,15103903,15103904,15103905]",12900031,"[16600013,16600040]",[]
,12300032,123000321,朽木白哉,123000322,该灵魂装备后增加主角体质和灵压强度，且减少【散落吧千本樱】的技能CD,12300032,3,4,FALSE,1,12800108,"[554,1663,3326,5544,8316]","[444,1331,2661,4435,6653]",1,12800122,"[504,526,548,571,596,622,650,678,707,738,771,805,842,880,921,963,1007,1054,1104,1155,1209,1266,1325,1387,1452,1520,1593,1669,1748,1831,1920,2013,2110,2212,2319,2431,2549,2672,2803,2939,3081,3232,3390,3555,3729,3911,4104,4305,4517,4739,4972,5217,5474,5744,6027,6325,6637,6966,7310,7670,8050,8448,8866,9306,9768,10252,10762,11296,11857,12445,13063,13712,14394,15109,15860,16650,17479,18349,19263,20223]","[50,53,55,57,60,62,65,68,71,74,77,80,84,88,92,96,101,105,110,115,121,127,132,139,145,152,159,167,175,183,192,201,211,221,232,243,255,267,280,294,308,323,339,356,373,391,410,430,452,474,497,522,547,574,603,632,664,697,731,767,805,845,887,931,977,1025,1076,1130,1186,1245,1306,1371,1439,1511,1586,1665,1748,1835,1926,2022]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15101901,15101902,15101903,15101904,15101905]",12900032,"[16600014,16600050]","[57_Byakuya,58_Byakuya]"
,12300033,123000331,朽木白哉<卍解>,123000332,该灵魂装备后增加主角灵力和灵压强度，且释放技能后概率释放【六丈光牢】,12300033,3,5,FALSE,1,12800111,"[828,2484,4968,8280,12420]","[662,1987,3974,6624,9936]",1,12800122,"[1008,1052,1095,1141,1191,1244,1299,1355,1414,1476,1541,1609,1684,1761,1842,1925,2015,2108,2207,2309,2418,2532,2650,2774,2904,3040,3186,3338,3496,3663,3839,4025,4220,4425,4639,4862,5097,5345,5605,5878,6163,6463,6779,7111,7457,7823,8207,8610,9034,9477,9945,10434,10948,11487,12054,12649,13275,13931,14619,15341,16100,16896,17732,18612,19535,20505,21524,22592,23714,24891,26127,27425,28788,30219,31721,33301,34958,36699,38526,40447]","[101,105,110,114,119,124,130,136,141,148,154,161,168,176,184,193,201,211,221,231,242,253,265,277,290,304,319,334,350,366,384,403,422,442,464,486,510,534,561,588,616,646,678,711,746,782,821,861,903,948,994,1043,1095,1149,1205,1265,1327,1393,1462,1534,1610,1690,1773,1861,1954,2050,2152,2259,2371,2489,2613,2742,2879,3022,3172,3330,3496,3670,3853,4045]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15102601,15102602,15102603,15102604,15102605]",12900033,"[16600029,16600037]","[59_Byakuya,64_Byakuya]"
,12300034,123000341,阿散井恋次,123000342,该灵魂装备后增加主角力量和物理攻击,12300034,1,3,TRUE,1,12800109,"[85,254,509,848,1272]","[68,204,407,678,1018]",1,12800103,"[260,271,282,294,307,321,335,349,365,381,397,415,434,454,475,496,520,544,569,595,623,653,683,715,749,784,821,861,901,944,990,1038,1088,1141,1196,1254,1314,1378,1445,1516,1589,1667,1748,1833,1923,2017,2116,2220,2329,2444,2564,2690,2823,2962,3108,3262,3423,3592,3770,3956,4151,4357,4572,4799,5037,5287,5550,5825,6115,6418,6737,7071,7423,7792,8179,8587,9014,9463,9934,10429]","[26,27,28,29,31,32,34,35,36,38,40,41,43,45,47,50,52,54,57,60,62,65,68,72,75,78,82,86,90,94,99,104,109,114,120,125,131,138,145,152,159,167,175,183,192,202,212,222,233,244,256,269,282,296,311,326,342,359,377,396,415,436,457,480,504,529,555,583,611,642,674,707,742,779,818,859,901,946,993,1043]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]",,12900034,[16600014],"[17_Renji,31]"
,12300035,123000351,阿散井恋次<卍解>,123000352,该灵魂装备后增加主角力量和物理攻击，且【狒牙绝咬】概率造成流血,12300035,1,4,TRUE,1,12800109,"[462,1386,2772,4620,6930]","[370,1109,2218,3696,5544]",1,12800103,"[433,452,471,491,512,534,558,582,608,634,662,692,724,757,791,827,866,906,948,992,1039,1088,1139,1192,1248,1307,1369,1434,1502,1574,1650,1730,1814,1902,1993,2089,2190,2297,2409,2526,2648,2778,2913,3056,3205,3362,3527,3700,3882,4073,4274,4484,4705,4937,5180,5436,5705,5987,6283,6593,6919,7261,7620,7999,8395,8812,9250,9709,10191,10697,11228,11786,12372,12987,13632,14311,15023,15771,16557,17382]","[43,45,47,49,51,53,56,58,61,63,66,69,72,76,79,83,87,91,95,99,104,109,114,119,125,131,137,143,150,157,165,173,181,190,199,209,219,230,241,253,265,278,291,306,320,336,353,370,388,407,427,448,471,494,518,544,570,599,628,659,692,726,762,800,840,881,925,971,1019,1070,1123,1179,1237,1299,1363,1431,1502,1577,1656,1738]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15102001,15102002,15102003,15102004,15102005]",12900035,"[16600034,16600056]",[18_Renji]
,12300036,123000361,狛村左阵,123000362,该灵魂装备后增加主角体质和物理攻击，且命中后削弱物理防御，可叠加,12300036,2,4,TRUE,1,12800108,"[480,1439,2878,4796,7194]","[384,1151,2302,3837,5755]",1,12800104,"[462,482,502,524,546,570,596,622,649,677,707,738,772,808,845,883,924,967,1012,1059,1109,1162,1215,1272,1332,1395,1461,1531,1603,1680,1761,1846,1936,2030,2128,2230,2338,2452,2571,2696,2827,2964,3109,3261,3421,3588,3764,3949,4144,4347,4561,4786,5022,5269,5529,5802,6089,6390,6705,7037,7385,7750,8133,8537,8960,9405,9872,10363,10877,11417,11984,12579,13204,13861,14550,15274,16034,16833,17671,18552]","[46,48,50,52,55,57,60,62,65,68,71,74,77,81,84,88,92,97,101,106,111,116,122,127,133,139,146,153,160,168,176,185,194,203,213,223,234,245,257,270,283,296,311,326,342,359,376,395,414,435,456,479,502,527,553,580,609,639,671,704,738,775,813,854,896,940,987,1036,1088,1142,1198,1258,1320,1386,1455,1527,1603,1683,1767,1855]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15102101,15102102,15102103,15102104,15102105]",12900036,"[16600015,16600061]","[N_026,50_Komamura]"
,12300037,123000371,狛村左阵<卍解>,123000372,该灵魂装备后增加主角体质和物理防御，且增加【天谴之拳】的打击范围和伤害,12300037,2,5,TRUE,1,12800108,"[731,2194,4388,7314,10971]","[585,1755,3511,5851,8777]",1,12800104,"[925,965,1005,1047,1093,1141,1192,1243,1297,1354,1414,1476,1544,1615,1689,1766,1848,1934,2025,2118,2218,2323,2431,2545,2664,2789,2923,3062,3207,3360,3522,3693,3872,4059,4255,4460,4676,4903,5142,5392,5653,5929,6219,6523,6841,7176,7529,7898,8288,8694,9123,9572,10044,10538,11058,11604,12178,12780,13411,14073,14769,15500,16267,17074,17921,18810,19745,20725,21754,22834,23967,25158,26408,27721,29099,30549,32069,33666,35342,37104]","[92,96,100,105,109,114,119,124,130,135,141,148,154,162,169,177,185,193,202,212,222,232,243,254,266,279,292,306,321,336,352,369,387,406,426,446,468,490,514,539,565,593,622,652,684,718,753,790,829,869,912,957,1004,1054,1106,1160,1218,1278,1341,1407,1477,1550,1627,1707,1792,1881,1974,2073,2175,2283,2397,2516,2641,2772,2910,3055,3207,3367,3534,3710]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15102201,15102202,15102203,15102204,15102205]",12900037,"[16600035,16600057]",[51_Komamura]
,12300038,123000381,射场铁左卫门,123000382,该灵魂装备后增加主角体质和物理攻击,12300038,2,3,TRUE,1,12800108,"[78,233,466,776,1164]","[62,186,372,621,931]",1,12800103,"[240,250,261,272,283,296,309,323,337,351,367,383,401,419,438,458,480,502,525,550,575,603,631,660,691,724,758,794,832,872,914,958,1005,1053,1104,1157,1213,1272,1334,1399,1467,1538,1614,1692,1775,1862,1953,2049,2150,2256,2367,2484,2606,2734,2869,3011,3160,3316,3480,3651,3832,4021,4221,4430,4650,4880,5123,5377,5644,5924,6219,6528,6852,7193,7550,7926,8321,8735,9170,9627]","[24,25,26,27,28,30,31,32,34,35,37,38,40,42,44,46,48,50,53,55,58,60,63,66,69,72,76,79,83,87,91,96,100,105,110,116,121,127,133,140,147,154,161,169,178,186,195,205,215,226,237,248,261,273,287,301,316,332,348,365,383,402,422,443,465,488,512,538,564,592,622,653,685,719,755,793,832,873,917,963]",1,"[1000,1070,1140,1210,1280,1350,1420,1490,1560,1630,1700]",,12900038,[16600015],[]
,12300039,123000391,京乐春水,123000392,该灵魂装备后增加主角精神和灵力攻击，且【影鬼】会造成浮空，且增加伤害,12300039,1,5,TRUE,1,12800110,"[849,2546,5092,8487,12730]","[679,2037,4074,6790,10184]",1,12800103,"[992,1034,1077,1123,1171,1223,1278,1333,1391,1452,1516,1583,1656,1732,1811,1893,1982,2073,2171,2271,2378,2490,2606,2728,2856,2990,3133,3282,3438,3602,3776,3959,4151,4352,4562,4781,5013,5257,5512,5781,6061,6356,6667,6993,7334,7694,8071,8467,8885,9320,9780,10262,10768,11298,11855,12440,13055,13701,14377,15087,15834,16617,17439,18304,19212,20166,21168,22219,23322,24479,25695,26971,28312,29719,31197,32750,34380,36092,37890,39778]","[99,103,108,112,117,122,128,133,139,145,152,158,166,173,181,189,198,207,217,227,238,249,261,273,286,299,313,328,344,360,378,396,415,435,456,478,501,526,551,578,606,636,667,699,733,769,807,847,888,932,978,1026,1077,1130,1186,1244,1306,1370,1438,1509,1583,1662,1744,1830,1921,2017,2117,2222,2332,2448,2569,2697,2831,2972,3120,3275,3438,3609,3789,3978]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15102301,15102302,15102303,15102304,15102305]",12900039,"[16600016,16600031,16600060]","[44_Kyoraku,43_Kyoraku,K_028]"
,12300040,123000401,伊势七绪,123000402,该灵魂装备后增加主角灵力和物理防御,12300040,2,3,TRUE,1,12800111,"[85,254,509,848,1272]","[68,204,407,678,1018]",1,12800104,"[267,279,290,303,316,330,345,360,375,392,409,427,447,467,489,511,535,559,586,613,641,672,703,736,770,807,845,885,927,972,1019,1068,1120,1174,1231,1290,1352,1418,1487,1559,1635,1715,1798,1886,1978,2075,2177,2284,2397,2514,2638,2768,2905,3047,3198,3356,3522,3696,3878,4070,4271,4482,4704,4938,5182,5440,5710,5994,6291,6603,6931,7275,7637,8017,8415,8834,9274,9736,10221,10730]","[27,28,29,30,32,33,34,36,38,39,41,43,45,47,49,51,53,56,59,61,64,67,70,74,77,81,85,89,93,97,102,107,112,117,123,129,135,142,149,156,163,171,180,189,198,208,218,228,240,251,264,277,290,305,320,336,352,370,388,407,427,448,470,494,518,544,571,599,629,660,693,728,764,802,842,883,927,974,1022,1073]",1,"[1000,1070,1140,1210,1280,1350,1420,1490,1560,1630,1700]",,12900040,[16600016],[]
,12300041,123000411,东仙要,123000412,该灵魂装备后增加主角体质和物理防御，且【超声冲击】晕眩时间时间增加,12300041,2,4,TRUE,1,12800108,"[515,1544,3089,5148,7722]","[412,1236,2471,4118,6178]",1,12800104,"[467,487,507,528,551,576,601,627,654,683,713,745,779,815,852,891,933,976,1021,1069,1119,1172,1226,1284,1344,1407,1474,1545,1618,1695,1777,1863,1953,2048,2147,2250,2359,2474,2594,2720,2852,2991,3137,3291,3451,3621,3798,3985,4181,4386,4603,4829,5067,5317,5579,5854,6144,6448,6766,7100,7451,7820,8207,8614,9041,9490,9961,10456,10975,11520,12092,12692,13323,13985,14681,15412,16179,16985,17830,18719]","[47,49,51,53,55,58,60,63,65,68,71,74,78,82,85,89,93,98,102,107,112,117,123,128,134,141,147,154,162,170,178,186,195,205,215,225,236,247,259,272,285,299,314,329,345,362,380,398,418,439,460,483,507,532,558,585,614,645,677,710,745,782,821,861,904,949,996,1046,1097,1152,1209,1269,1332,1399,1468,1541,1618,1698,1783,1872]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15102401,15102402,15102403,15102404,15102405]",12900041,"[16600017,16600035,16600041]","[82_Tosen,85_Tosen,87_Tosen]"
,12300042,123000421,桧佐木修兵,123000422,该灵魂装备后增加主角体质和血量，且击中敌人，概率释放【风杀】,12300042,3,4,TRUE,1,12800108,"[462,1386,2772,4620,6930]","[370,1109,2218,3696,5544]",1,12800101,"[2083,2173,2262,2358,2461,2570,2685,2800,2922,3050,3184,3325,3478,3638,3805,3978,4163,4355,4560,4771,4995,5232,5475,5731,6000,6282,6582,6896,7222,7568,7933,8317,8720,9142,9584,10045,10531,11043,11581,12144,12733,13354,14006,14691,15408,16163,16957,17789,18666,19581,20547,21558,22621,23734,24906,26134,27427,28784,30205,31696,33264,34909,36637,38454,40362,42365,44470,46678,48995,51427,53981,56662,59478,62435,65539,68803,72227,75824,79600,83568]","[42,43,45,47,49,51,54,56,58,61,64,66,70,73,76,80,83,87,91,95,100,105,110,115,120,126,132,138,144,151,159,166,174,183,192,201,211,221,232,243,255,267,280,294,308,323,339,356,373,392,411,431,452,475,498,523,549,576,604,634,665,698,733,769,807,847,889,934,980,1029,1080,1133,1190,1249,1311,1376,1445,1516,1592,1671]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15104401,15104402,15104403,15104404,15104405]",12900042,"[16600017,16600061]",[]
,12300043,123000431,日番谷冬狮郎,123000432,该灵魂装备后增加主角灵力和灵力防御，且受击概率降低敌方双攻，最多叠加5层,12300043,2,4,FALSE,1,12800111,"[466,1399,2798,4664,6996]","[373,1119,2239,3731,5597]",1,12800106,"[396,413,430,448,468,488,510,532,555,579,605,632,661,691,723,756,791,827,866,907,949,994,1040,1089,1140,1194,1251,1310,1372,1438,1507,1580,1657,1737,1821,1909,2001,2098,2200,2307,2419,2537,2661,2791,2928,3071,3222,3380,3546,3720,3904,4096,4298,4510,4732,4966,5211,5469,5739,6022,6320,6633,6961,7306,7669,8049,8449,8869,9309,9771,10256,10766,11301,11863,12452,13073,13723,14407,15124,15878]","[40,41,43,45,47,49,51,53,56,58,60,63,66,69,72,76,79,83,87,91,95,99,104,109,114,119,125,131,137,144,151,158,166,174,182,191,200,210,220,231,242,254,266,279,293,307,322,338,355,372,390,410,430,451,473,497,521,547,574,602,632,663,696,731,767,805,845,887,931,977,1026,1077,1130,1186,1245,1307,1372,1441,1512,1588]",1,"[1000,1170,1340,1510,1680,1850,2020,2190,2360,2530,2700]","[15102501,15102502,15102503,15102504,15102505]",12900043,"[16600018,16600040]","[N_021,73]"
,12300044,123000441,日番谷冬狮郎<卍解>,123000442,该灵魂装备后增加主角灵力和灵力防御，且提升【冰龙波】冰冻概率,12300044,2,5,FALSE,1,12800111,"[738,2215,4430,7383,11075]","[591,1772,3544,5906,8860]",1,12800106,"[792,826,860,896,935,976,1020,1064,1110,1159,1210,1263,1322,1383,1446,1511,1582,1655,1733,1813,1898,1988,2081,2178,2280,2387,2501,2620,2745,2876,3014,3160,3314,3474,3642,3817,4002,4196,4401,4615,4838,5074,5322,5583,5855,6142,6444,6760,7093,7441,7808,8192,8596,9019,9464,9931,10422,10938,11478,12044,12640,13265,13922,14613,15337,16099,16899,17738,18618,19542,20513,21532,22602,23725,24905,26145,27446,28813,30248,31756]","[79,83,86,90,94,98,102,106,111,116,121,126,132,138,145,151,158,165,173,181,190,199,208,218,228,239,250,262,274,288,301,316,331,347,364,382,400,420,440,461,484,507,532,558,586,614,644,676,709,744,781,819,860,902,946,993,1042,1094,1148,1204,1264,1327,1392,1461,1534,1610,1690,1774,1862,1954,2051,2153,2260,2373,2490,2615,2745,2881,3025,3176]",1,"[1000,1170,1340,1510,1680,1850,2020,2190,2360,2530,2700]","[15102701,15102702,15102703,15102704,15102705]",12900044,[16600033],"[K_049,97_Hitsugaya]"
,12300045,123000451,松本乱菊,123000452,该灵魂装备后增加主角精神和血量，且提高【灰猫低吟】伤害并释放出更多烟团,12300045,3,4,TRUE,1,12800110,"[414,1241,2482,4136,6204]","[331,993,1985,3309,4963]",1,12800101,"[1917,1999,2081,2170,2264,2364,2470,2576,2688,2806,2929,3059,3200,3347,3500,3659,3830,4007,4195,4390,4596,4813,5037,5273,5520,5779,6056,6344,6645,6963,7298,7651,8022,8411,8817,9241,9689,10160,10654,11172,11714,12285,12886,13516,14175,14870,15600,16366,17172,18014,18903,19834,20811,21836,22913,24044,25233,26481,27788,29160,30603,32116,33706,35378,37133,38976,40913,42944,45076,47313,49662,52129,54720,57440,60296,63299,66449,69758,73232,76883]","[38,40,42,43,45,47,49,52,54,56,59,61,64,67,70,73,77,80,84,88,92,96,101,105,110,116,121,127,133,139,146,153,160,168,176,185,194,203,213,223,234,246,258,270,284,297,312,327,343,360,378,397,416,437,458,481,505,530,556,583,612,642,674,708,743,780,818,859,902,946,993,1043,1094,1149,1206,1266,1329,1395,1465,1538]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]","[15104201,15104202,15104203,15104204,15104205]",12900045,"[16600018,16600032]","[N_009,33_Rangiku,36_Rangiku]"
,12300046,123000461,更木剑八,123000462,该灵魂装备后增加主角力量和物理攻击，且提升所有普通攻击伤害,12300046,1,4,TRUE,1,12800109,"[563,1690,3379,5632,8448]","[451,1352,2703,4506,6758]",1,12800103,"[562,587,611,637,664,694,725,756,789,823,860,898,939,982,1027,1074,1124,1176,1231,1288,1349,1413,1478,1547,1620,1696,1777,1862,1950,2043,2142,2246,2354,2468,2588,2712,2843,2982,3127,3279,3438,3605,3782,3967,4160,4364,4578,4803,5040,5287,5548,5821,6108,6408,6725,7056,7405,7772,8155,8558,8981,9425,9892,10383,10898,11438,12007,12603,13229,13885,14575,15299,16059,16858,17696,18577,19501,20472,21492,22563]","[56,59,61,64,66,69,72,76,79,82,86,90,94,98,103,107,112,118,123,129,135,141,148,155,162,170,178,186,195,204,214,225,235,247,259,271,284,298,313,328,344,361,378,397,416,436,458,480,504,529,555,582,611,641,672,706,741,777,816,856,898,943,989,1038,1090,1144,1201,1260,1323,1389,1457,1530,1606,1686,1770,1858,1950,2047,2149,2256]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15102801,15102802,15102803,15102804,15102805]",12900046,[16600019],[56_Kenpachi]
